"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1901","tvn_consuelo","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","4.5e-19","1.1e-19"
"1902","pancho_leyton","0.00059","0.00000","0.0098","0.083","0.0000","3.2e-06","5.5e-18","0.0e+00","2.2e-06","1.1e-19"
"1903","LaAlternativA","0.00000","0.00000","0.0033","0.083","0.0000","1.2e-10","7.0e-20","0.0e+00","6.2e-11","1.1e-19"
"1904","hectorleiva","0.00147","0.00000","0.0196","0.083","0.0000","0.0e+00","1.4e-17","0.0e+00","1.3e-17","1.1e-19"
"1905","marolava","0.00000","0.00000","0.0033","0.083","0.0000","3.8e-06","7.0e-20","0.0e+00","2.6e-06","1.1e-19"
"1906","talarayen","0.00176","0.00000","0.0229","0.083","0.0000","2.7e-05","1.7e-17","0.0e+00","1.8e-05","1.1e-19"
"1907","rapimanque","0.00000","0.00000","0.0033","0.083","0.0000","3.8e-06","7.0e-20","0.0e+00","2.6e-06","1.1e-19"
"1908","moni__K","0.00000","0.00000","0.0033","0.083","0.0000","3.8e-06","7.0e-20","0.0e+00","2.6e-06","1.1e-19"
"1909","Crosek","0.00000","0.00000","0.0033","0.083","0.0000","3.8e-06","7.0e-20","0.0e+00","2.6e-06","1.1e-19"
"1910","skcore","0.00000","0.00000","0.0033","0.083","0.0000","3.8e-06","7.0e-20","0.0e+00","2.6e-06","1.1e-19"
"1911","CharlZZ_2010","0.00000","0.00000","0.0033","0.083","0.0000","3.8e-06","7.0e-20","0.0e+00","2.6e-06","1.1e-19"
"1912","icharouaix","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","1.1e-19","1.1e-19"
"1913","Jorgicio","0.00059","0.00000","0.0098","0.083","0.0000","0.0e+00","5.5e-18","0.0e+00","4.8e-18","1.1e-19"
"1914","rac_66","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1915","j_ramirezr","0.00147","0.00000","0.0196","0.166","0.0000","2.9e-03","1.4e-17","0.0e+00","2.1e-03","1.1e-19"
"1916","javipumarino","0.00029","0.00000","0.0065","0.166","0.0000","5.0e-03","3.1e-18","1.0e+00","3.5e-03","1.1e-19"
"1917","CarolinaZaror","0.00440","0.00000","0.0523","0.582","0.0000","1.4e-02","4.5e-17","8.3e-03","1.1e-02","1.1e-19"
"1918","carocklina","0.00205","0.00000","0.0261","0.249","0.0000","3.5e-06","2.1e-17","0.0e+00","2.1e-06","1.1e-19"
"1919","asatone","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","8.5e-20","1.1e-19"
"1920","yoromina","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","7.7e-20","1.1e-19"
"1921","Blanquito_Amor","0.00059","0.00000","0.0098","0.416","0.0000","4.5e-03","5.5e-18","0.0e+00","3.1e-03","1.1e-19"
"1922","dmlynarz","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1925","fanchita","0.00029","0.00000","0.0065","0.083","0.0000","3.3e-09","3.1e-18","0.0e+00","1.7e-09","1.1e-19"
"1926","leylaanuch","0.00000","0.00000","0.0033","0.582","0.0000","7.3e-04","7.0e-20","0.0e+00","5.8e-04","1.1e-19"
"1927","sandraflorescid","0.00059","0.00000","0.0098","0.249","0.0000","1.7e-05","5.5e-18","0.0e+00","1.1e-05","1.1e-19"
"1928","FunkyPeppers","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1929","ValCarvajalL","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1930","Ximedu","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1931","jorhenriquez","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1932","diponcezu","0.00176","0.00000","0.0229","0.582","0.0000","3.0e-02","1.7e-17","4.8e-02","2.2e-02","1.1e-19"
"1933","pasionuc","0.00059","0.00000","0.0098","0.083","0.0000","1.4e-02","5.5e-18","0.0e+00","9.3e-03","1.1e-19"
"1934","PameMatusMoll","0.00029","0.00000","0.0065","0.083","0.0000","9.2e-06","3.1e-18","0.0e+00","5.7e-06","1.1e-19"
"1935","PerroC","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-06","7.0e-20","0.0e+00","6.3e-07","1.1e-19"
"1936","gustavodelgadob","0.00059","0.00000","0.0098","0.582","0.0000","4.6e-03","5.5e-18","3.3e-01","3.9e-03","1.1e-19"
"1937","Carolabgc","0.00000","0.00000","0.0033","0.083","0.0000","8.7e-07","7.0e-20","0.0e+00","5.2e-07","1.1e-19"
"1938","Jorg3_ignacio","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","3.7e-19","1.1e-19"
"1939","EliasMohor","0.00000","0.00000","0.0033","0.582","0.0000","3.2e-04","7.0e-20","0.0e+00","6.2e-04","1.1e-19"
"1940","RodCofre","0.00059","0.00000","0.0098","0.083","0.0000","3.3e-05","5.5e-18","0.0e+00","2.2e-05","1.1e-19"
